text,label
"Service après-vente Apple : un remboursement de 350€ est en attente, rappelez le 01 80 00 00 00 pour finaliser.",1
"Coucou Hugo, on déploie en préprod cet après-midi, je te tiens au courant.",0
Votre code de vérification est 3146. Communiquez-le à notre conseiller pour valider.,1
"Salut Karim, café d'équipe jeudi 10h en salle A2, pense à réserver le projecteur.",0
"Code de connexion : 244598. Si vous n'êtes pas à l'origine de cette demande, ignorez ce message.",0
"Maman, j'ai cassé mon téléphone, voici mon nouveau numéro. Peux-tu régler une facture de 1,99€ en urgence ? Je te rembourse vite.",1
"Votre facture La Poste de 2,99€ est disponible, prélèvement le 5 du mois.",0
"+33 7 56 25 68 21 : votre carte bancaire a été bloquée, rappelez.",1
"Hey Julie, café d'équipe jeudi 10h en salle A2, pense à réserver le projecteur.",0
"Apple fête ses 10 ans : merci d'être client, aucune action de votre part.",0
"Alerte sécurité LCL : un virement de 9 500€ est en attente, confirmez : http://lcl-support.win",1
Vous avez été tiré au sort pour un iPhone 15. Répondez sous 24h pour le recevoir : http://apple-support.win,1
"Hey Karim, le ticket #214 est résolu, j'ai poussé le correctif en recette.",0
Avis de les Impôts : pénalité dans l'heure si votre dossier n'est pas régularisé : http://espace-gouv.co,1
C'est ton responsable. Peux-tu acheter 4 cartes cadeaux DHL pour un client et m'envoyer les codes ? Je suis en réunion.,1
"Votre banque : un paiement de 350€ a été débité, retrouvez le détail dans l'application.",0
Votre portefeuille crypto a été crédité de 129€. Activez le retrait : http://secure-wallet-verif.com,1
"votre résumé hebdo Chronopost est prêt, bonne lecture.",0
"Service après-vente Amazon : un remboursement de 2,99€ est en attente, rappelez le 01 57 32 48 11 pour finaliser.",1
Rappelez d'urgence le 0837 92 91 86 concernant votre dossier.,1
C'est ton responsable. Peux-tu acheter 2 cartes cadeaux Free pour un client et m'envoyer les codes ? Je suis en réunion.,1
"Newsletter Microsoft : découvrez nos nouveautés du mois, désinscription en bas de page.",0
Orange : une connexion a eu lieu depuis Paris. C'était vous ? Gérez vos appareils dans l'application.,0
"votre retour DHL a bien été pris en charge, remboursement sous 5 jours.",0
Code OTP 910075 – Ne le partagez avec personne (répondez pour confirmer).,1
Votre code de vérification est 8935. Communiquez-le à notre conseiller pour valider.,1
"Newsletter Netflix : découvrez nos nouveautés du mois, désinscription en bas de page.",0
"Mon amour, je suis bloqué à l'étranger, peux-tu m'envoyer 500€ par Western Union pour mon billet ?",1
