text,label,proba,pred
On d?ploie en pr?prod cet apr?s-midi.,0.0,0.003578522679779539,0
+44 20 7946 0958,1.0,0.669044901109299,1
"Votre colis a ?t? livr?, voir le suivi dans votre espace client.",0.0,0.008170559782674336,0
0899 12 34 56,1.0,0.860647334586527,1
"[LEGIT] Hi Alex, here is the Zoom link for 3pm. No rush.",1.0,0.16122758148682925,0
[LEGIT] Invoice attached from our usual vendor (same IBAN). Call me if needed.,1.0,0.16122758148682925,0
"Caf? d??quipe jeudi 10h, salle A2.",0.0,0.003578522679779761,0
Rappel: rendez-vous m?decin lundi 15h.,0.0,0.5743134441078156,1
[SCAM] URGENT: Your bank account will be closed in 3 hours. Verify now: http://secure-bànk-support.com/login,1.0,0.6807478879800539,1
Alerte : connexion depuis un nouvel appareil. Validez votre identité.,1.0,0.7244623496244258,1
"Rappel : votre facture EDF est impayée, réglez immédiatement.",1.0,0.754988764799013,1
0810 00 00 00,1.0,0.16122758148682925,0
"Votre TVA n’a pas été réglée, pénalité immédiate si inaction.",1.0,0.6855092712436303,1
+33 7 56 12 34 56,1.0,0.8606473345865269,1
[SCAM] Congratulations! You won 1000€ Amazon gift card. Claim: http://amàzon-prize.win,1.0,0.30272419625980507,0
Facture r?gl?e. Merci pour votre confiance.,0.0,0.4360611451205807,0
"Félicitations ! Vous avez gagné un iPhone 15, répondez vite pour le recevoir.",1.0,0.7122110689033759,1
Message de votre banque : connexion suspecte détectée.,1.0,0.733456876894735,1
"Confirmation d'inscription au webinaire, lien ci-joint.",0.0,0.003578522679779761,0
"Mise à jour de sécurité obligatoire, connectez-vous à votre espace.",1.0,0.5300833273897374,1
"Bonjour, voici le compte-rendu de la r?union d'hier.",0.0,0.3566525150270484,0
CR hebdo: objectifs atteints ? 92 %.,0.0,0.003578522679779761,0
appelez le,1.0,0.5684310149492547,1
Note interne: mise ? jour des cong?s dans le SIRH.,0.0,0.004599536966102269,0
rappel immdiat,1.0,0.7186551759776533,1
Votre compte bancaire a été suspendu. Cliquez ici pour le réactiver.,1.0,0.41358925703120086,0
[SCAM] Code OTP 431992 – Do not share with anyone (reply to confirm).,1.0,0.6807478879800546,1
+33 9 70 00 00 00,1.0,0.279161645349152,0
Relev?s disponibles sur l?appli. Aucun incident.,0.0,0.003578522679779761,0
numro surtax,1.0,0.16122758148682925,0
"Votre colis est retenu. Payez 2,99€ pour la livraison.",1.0,0.6515927604610494,1
