text,label
On d?ploie en pr?prod cet apr?s-midi.,1
+44 20 7946 0958,0
"Votre colis a ?t? livr?, voir le suivi dans votre espace client.",1
0899 12 34 56,0
"[LEGIT] Hi Alex, here is the Zoom link for 3pm. No rush.",0
[LEGIT] Invoice attached from our usual vendor (same IBAN). Call me if needed.,0
"Caf? d??quipe jeudi 10h, salle A2.",1
Rappel: rendez-vous m?decin lundi 15h.,1
[SCAM] URGENT: Your bank account will be closed in 3 hours. Verify now: http://secure-bànk-support.com/login,0
Alerte : connexion depuis un nouvel appareil. Validez votre identité.,0
"Rappel : votre facture EDF est impayée, réglez immédiatement.",0
0810 00 00 00,0
"Votre TVA n’a pas été réglée, pénalité immédiate si inaction.",0
+33 7 56 12 34 56,0
[SCAM] Congratulations! You won 1000€ Amazon gift card. Claim: http://amàzon-prize.win,0
Facture r?gl?e. Merci pour votre confiance.,1
"Félicitations ! Vous avez gagné un iPhone 15, répondez vite pour le recevoir.",0
Message de votre banque : connexion suspecte détectée.,0
"Confirmation d'inscription au webinaire, lien ci-joint.",1
"Mise à jour de sécurité obligatoire, connectez-vous à votre espace.",0
"Bonjour, voici le compte-rendu de la r?union d'hier.",1
CR hebdo: objectifs atteints ? 92 %.,1
appelez le,0
Note interne: mise ? jour des cong?s dans le SIRH.,1
rappel immdiat,0
Votre compte bancaire a été suspendu. Cliquez ici pour le réactiver.,0
[SCAM] Code OTP 431992 – Do not share with anyone (reply to confirm).,0
+33 9 70 00 00 00,0
Relev?s disponibles sur l?appli. Aucun incident.,1
numro surtax,0
"Votre colis est retenu. Payez 2,99€ pour la livraison.",0
